Num Features,10,30.6909977754,22.7979817634
Num Features,10,30.6909977754,22.7979817634
Num Features,10,30.6909977754,22.7979817634
Num Features,10,30.6909977754,22.7979817634
Num Features,10,30.6909977754,22.7979817634
Num Features,11,30.9512330771,22.858792805
Num Features,11,30.9512330771,22.858792805
Num Features,11,30.9512330771,22.858792805
Num Features,11,30.9512330771,22.858792805
Num Features,11,30.9512330771,22.858792805
Num Features,12,30.5485372499,22.5607260481
Num Features,12,30.5485372499,22.5607260481
Num Features,12,30.5485372499,22.5607260481
Num Features,12,30.5485372499,22.5607260481
Num Features,12,30.5485372499,22.5607260481
Num Features,13,30.6805182303,22.8076047102
Num Features,13,30.6805182303,22.8076047102
Num Features,13,30.5098629549,22.7183477511
Num Features,13,30.5098629549,22.7183477511
Num Features,13,30.5027490684,22.7143163651
Num Features,14,30.0434515301,22.3574287428
Num Features,14,30.0434515301,22.3574287428
Num Features,14,30.0434515301,22.3574287428
Num Features,14,30.0434515301,22.3574287428
Num Features,14,30.0434515301,22.3574287428
Num Features,15,30.1511714384,22.357974841
Num Features,15,30.007413178,22.2729033627
Num Features,15,30.1511714384,22.357974841
Num Features,15,30.007413178,22.2729033627
Num Features,15,30.1511714384,22.357974841
Num Features,16,29.9780996564,22.4450620979
Num Features,16,29.8340781375,22.3393789381
Num Features,16,29.9780996564,22.4450620979
Num Features,16,29.8340781375,22.3393789381
Num Features,16,29.8340781375,22.3393789381
Num Features,17,30.2509571311,22.4403540168
Num Features,17,30.0925241419,22.3489363215
Num Features,17,30.0925241419,22.3489363215
Num Features,17,30.0925241419,22.3489363215
Num Features,17,30.0925241419,22.3489363215
Num Features,18,30.0925241419,22.3489363215
Num Features,18,30.2509571311,22.4403540168
Num Features,18,30.0925241419,22.3489363215
Num Features,18,30.2509571311,22.4403540168
Num Features,18,30.0925241419,22.3489363215
Num Features,19,30.2509571311,22.4403540168
Num Features,19,30.2509571311,22.4403540168
Num Features,19,30.0925241419,22.3489363215
Num Features,19,30.2509571311,22.4403540168
Num Features,19,30.2509571311,22.4403540168
Num Features,20,30.2509571311,22.4403540168
Num Features,20,30.0925241419,22.3489363215
Num Features,20,30.2509571311,22.4403540168
Num Features,20,30.0925241419,22.3489363215
Num Features,20,30.0925241419,22.3489363215
Num Features,21,30.0925241419,22.3489363215
Num Features,21,30.2509571311,22.4403540168
Num Features,21,30.2509571311,22.4403540168
Num Features,21,30.2509571311,22.4403540168
Num Features,21,30.2509571311,22.4403540168
Num Features,22,30.0925241419,22.3489363215
Num Features,22,30.0925241419,22.3489363215
Num Features,22,30.2509571311,22.4403540168
Num Features,22,30.2509571311,22.4403540168
Num Features,22,30.2509571311,22.4403540168
Num Features,23,30.0925241419,22.3489363215
Num Features,23,30.0925241419,22.3489363215
Num Features,23,30.2509571311,22.4403540168
Num Features,23,30.0925241419,22.3489363215
Num Features,23,30.2509571311,22.4403540168
