Num Features,14,31.3429254043,22.0086802788
Num Features,14,30.3107993175,22.1209038598
Num Features,14,30.7524536405,21.8583881882
Num Features,14,32.1921434797,22.8400953839
Num Features,14,30.2272662731,21.7726659335
Num Features,15,30.9529934963,22.3556901766
Num Features,15,32.1038400719,23.1642210393
Num Features,15,29.269454001,21.2430418848
Num Features,15,29.7423350386,20.9101797168
Num Features,15,30.2287661553,21.823922656
Num Features,16,30.789211563,22.2697655221
Num Features,16,30.2261698347,22.3658058186
Num Features,16,30.4212111853,22.1811427986
Num Features,16,30.828326461,22.1389801085
Num Features,16,30.3492566199,22.3876147145
Num Features,17,30.504662825,22.0048743428
Num Features,17,31.8144870797,22.3781473756
Num Features,17,31.7499579664,22.7832687301
Num Features,17,31.2518276775,23.2584812092
Num Features,17,29.0538246606,21.3197087383
Num Features,18,30.8601817355,22.0977701019
Num Features,18,31.9397723213,23.1200527752
Num Features,18,30.8772583704,22.0435442496
Num Features,18,30.8058893753,22.7519722749
Num Features,18,31.2779165649,22.5572541574
Num Features,19,30.9361658265,22.7571357878
Num Features,19,30.1741359518,21.9537568854
Num Features,19,29.7564619698,21.8373968242
Num Features,19,30.8207448454,22.1798230514
Num Features,19,29.7165968604,21.2724017659
Num Features,20,30.1593385042,21.8766550239
Num Features,20,29.7463908252,21.5715204175
Num Features,20,31.4240733601,21.8802468991
Num Features,20,28.9788599521,21.3038270633
Num Features,20,30.8869247601,22.2047690153
Num Features,21,30.9187179555,22.4099071432
Num Features,21,31.0031307208,22.8724317044
Num Features,21,32.4525488732,23.4472109629
Num Features,21,31.084007475,22.5795766436
Num Features,21,31.7616806674,22.1615601606
Num Features,22,31.8730182851,22.819336182
Num Features,22,31.0145980662,22.4462629471
Num Features,22,29.532365998,22.2197427588
Num Features,22,31.4557583975,22.500339933
Num Features,22,29.4551533872,22.3382825528
Num Features,23,31.5739435818,22.1966519054
Num Features,23,28.6446443881,21.2938035823
Num Features,23,28.9970430329,21.2167283336
Num Features,23,29.8614150308,21.9409565462
Num Features,23,30.2130125328,22.3505757362
